# Rasgos activos de la red NNUE, calculados por Vigía: el sentido A del vector dorado.
# generador indices --semilla 20260911 — 100 partidas aleatorias.
# Una línea por posición: categoría|fen|rasgos vistos por las blancas|rasgos vistos por las negras
al_paso|rn1qkb1r/ppp1pp1p/3p1n2/6p1/8/5P1N/PPPPP1PR/RNBQKB2 w Qkq g6 0 5|8 9 10 11 12 14 21 65 87 130 133 192 207 259 324 422 427 432 433 434 436 437 439 493 505 573 632 639 699 764 768 770 771|8 9 10 12 13 15 19 30 65 85 133 192 199 259 324 429 432 433 434 435 436 438 495 505 570 573 631 632 699 764 768 769 770
al_paso|rn1qkb1r/ppp1pp1p/3p1n2/6p1/1P6/5P1N/P1PPP1PR/RNBQKB2 b Qkq b3 0 5|8 10 11 12 14 21 25 65 87 130 133 192 207 259 324 422 427 432 433 434 436 437 439 493 505 573 632 639 699 764 768 770 771|8 9 10 12 13 15 19 30 65 85 133 192 199 259 324 417 429 432 434 435 436 438 495 505 570 573 631 632 699 764 768 769 770
al_paso|8/8/8/1p6/1p6/k7/5K2/4n3 w - b6 0 63|333 409 417 452 720|25 33 124 360 757
al_paso|rnbqkbnr/pppppppp/8/8/5P2/8/PPPPP1PP/RNBQKBNR b KQkq f3 0 1|8 9 10 11 12 14 15 29 65 70 130 133 192 199 259 324 432 433 434 435 436 437 438 439 505 510 570 573 632 639 699 764 768 769 770 771|8 9 10 11 12 13 14 15 65 70 130 133 192 199 259 324 421 432 433 434 435 436 438 439 505 510 570 573 632 639 699 764 768 769 770 771
al_paso|r1bqkbnr/pppppp1p/2n5/6p1/5P2/6P1/PPPPP2P/RNBQKBNR w KQkq g6 0 3|8 9 10 11 12 15 22 29 65 70 130 133 192 199 259 324 422 432 433 434 435 436 437 439 490 510 570 573 632 639 699 764 768 769 770 771|8 9 10 11 12 13 15 30 70 82 130 133 192 199 259 324 421 430 432 433 434 435 436 439 505 510 570 573 632 639 699 764 768 769 770 771
al_paso|1rbqk2r/pppppp1p/2n1B3/8/1P6/6P1/P1P1P2P/RNbQ1KNR b k b3 0 8|8 10 12 15 22 25 65 70 172 192 199 259 325 432 433 434 435 436 437 439 490 514 570 633 639 699 764 771|8 9 10 11 12 13 15 82 130 186 193 199 259 324 417 430 432 434 436 439 505 510 532 632 639 699 765 769
al_paso|1rbqk2r/p1ppp2p/4p3/1p6/1Pn5/2P3P1/P3PK1P/RNQ3NR w k b6 0 12|8 12 15 18 22 25 65 70 192 199 258 333 417 428 432 434 435 436 439 474 570 633 639 699 764 771|8 10 11 12 15 20 25 98 130 193 199 259 324 417 426 430 432 436 439 505 510 632 639 698 757 769
al_paso|1r1qk2r/p1p1p2p/4p3/1p6/1P3N1P/2P1P1P1/P4K2/1R5b b k h3 0 18|8 18 20 22 25 31 93 193 333 417 428 432 434 436 439 519 633 639 699 764 771|8 10 12 15 20 25 191 193 199 259 324 417 423 426 428 430 432 485 633 757 769
al_paso|rnbqkbnr/pppppppp/8/8/7P/8/PPPPPPP1/RNBQKBNR b KQkq h3 0 1|8 9 10 11 12 13 14 31 65 70 130 133 192 199 259 324 432 433 434 435 436 437 438 439 505 510 570 573 632 639 699 764 768 769 770 771|8 9 10 11 12 13 14 15 65 70 130 133 192 199 259 324 423 432 433 434 435 436 437 438 505 510 570 573 632 639 699 764 768 769 770 771
al_paso|rnbqkbnr/p1pp1ppp/1p6/4p3/7P/N7/PPPPPPP1/R1BQKBNR w KQkq e6 0 3|8 9 10 11 12 13 14 31 70 80 130 133 192 199 259 324 420 425 432 434 435 437 438 439 505 510 570 573 632 639 699 764 768 769 770 771|8 10 11 13 14 15 17 28 65 70 130 133 192 199 259 324 423 432 433 434 435 436 437 438 488 510 570 573 632 639 699 764 768 769 770 771
